# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
yiaS	ER3413_3690	AIZ53390	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yiaT	ER3413_3691	AIZ53391	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yiaU	ER3413_3693	AIZ53393	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yiaV	ER3413_3692	AIZ53392	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
yiaW	ER3413_3694	AIZ53394	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yiaY	ER3413_3697	AIZ53396	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yicN	ER3413_3776	AIZ53476	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yicO	ER3413_3777	AIZ53477	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yicS	ER3413_3774	AIZ53474	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yifK	ER3413_3907	AIZ53603	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yihD	ER3413_3971	AIZ53660	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yihF	ER3413_3974	AIZ53663	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yihG	ER3413_3975	AIZ53664	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yihL	ER3413_3990	AIZ53675	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yihM	ER3413_3991	AIZ53676	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yihN	ER3413_3992	AIZ53677	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yihO	ER3413_3994	AIZ53679	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yihP	ER3413_3995	AIZ53680	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yihQ	ER3413_3996	AIZ53681	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yjaG	ER3413_4124	AIZ53804	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yjaZ	ER3413_4113	AIZ53792	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yjcB	ER3413_4197	AIZ53868	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yjcC	ER3413_4198	AIZ53869	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
yjcD	ER3413_4202	AIZ53874	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yjcE	ER3413_4203	AIZ53875	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yjcO	ER3413_4217	AIZ53889	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12
yjcS	ER3413_4225	AIZ53896	protein_coding	0	0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	0
yjdA	ER3413_4251	AIZ53923	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yjdM	ER3413_4250	AIZ53922	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yjdN	ER3413_4249	AIZ53920	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yjeH	ER3413_4285	AIZ53958	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
yjeI	ER3413_4288	AIZ53961	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yjeJ	ER3413_4289	AIZ53962	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yjhP	ER3413_4455	AIZ54121	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
yjhQ	ER3413_4456	AIZ54122	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
yjhX	ER3413_4457	AIZ54123	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
yjjJ	ER3413_4496	AIZ54157	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yjjK	ER3413_4503	AIZ54165	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ylcG	ER3413_560	AIZ54397	protein_coding	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0
ylcH	ER3413_4625	AIZ54299	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14
ylcI	ER3413_564	AIZ54401	protein_coding	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	51
ymdA	ER3413_1069	AIZ50852	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ymdB	ER3413_1070	AIZ50854	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ymiA	ER3413_1295	AIZ51076	protein_coding	0	0	0	8	0	0	8	0	0	0	0	0	0	0	0	0	0
ymjA	ER3413_1319	AIZ51100	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ynbE	ER3413_1410	AIZ51183	protein_coding	0	0	0	116	0	0	110	0	0	0	0	0	0	0	0	0	6
ynfA	ER3413_1619	AIZ51373	protein_coding	0	0	0	31	0	0	31	0	0	0	0	0	0	0	0	0	0
ynfB	ER3413_1620	AIZ51375	protein_coding	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	31
ynfC	ER3413_1622	AIZ51377	protein_coding	0	0	0	32	0	0	31	0	0	0	0	0	0	0	0	0	1
ynfD	ER3413_1623	AIZ51378	protein_coding	0	0	0	32	0	0	1	0	0	0	0	0	0	0	0	0	31
ynfE	ER3413_1624	AIZ51379	protein_coding	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	0	17
ynfF	ER3413_1625	AIZ51380	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ynfG	ER3413_1626	AIZ51381	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ynfH	ER3413_1627	AIZ51382	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ynfK	ER3413_1629	AIZ51384	protein_coding	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1
ynfL	ER3413_1632	AIZ51388	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ynfM	ER3413_1633	AIZ51389	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
yobH	ER3413_1875	AIZ51639	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yodD	ER3413_2005	AIZ51769	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
yohC	ER3413_2200	AIZ51944	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
yohD	ER3413_2202	AIZ51945	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yphD	ER3413_2628	AIZ52365	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yphE	ER3413_2629	AIZ52366	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yphF	ER3413_2630	AIZ52367	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yphG	ER3413_2631	AIZ52368	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
yphH	ER3413_2632	AIZ52369	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yrhB	ER3413_3535	AIZ53238	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
yrhD	ER3413_4518	AIZ54181	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ysaA	ER3413_3680	AIZ53379	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
ytcA	ER3413_4224	AIZ53895	protein_coding	0	0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	0
ytjB	ER3413_4498	AIZ54159	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
zapA	ER3413_2998	AIZ52708	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
